PAROKI,PAL,KET,KOTA,KEUSKUPAN,NMUSKUP,VIKEP,NMVIKEP,VAL1
30055,,St. Theresia - Sedayu,SEDAYU,30,KEUSKUPAN AGUNG SEMARANG,30003,KEV. YOGYAKARTA,
30056,,Kristus Raja - Ungaran,UNGARAN,30,KEUSKUPAN AGUNG SEMARANG,30001,KEV. SEMARANG,
30057,,Hati Kudus Tuhan Yesus - Simo,SIMO,30,KEUSKUPAN AGUNG SEMARANG,30002,KEV. SURAKARTA,
30058,,St. Theresia - Bongsari,SEMARANG,30,KEUSKUPAN AGUNG SEMARANG,30001,KEV. SEMARANG,
30059,,St. Aloysius Gonzaga - Mlati,YOGYAKARTA,30,KEUSKUPAN AGUNG SEMARANG,30003,KEV. YOGYAKARTA,
30060,,St. Maria Lourdes - Sumber,SUMBER,30,KEUSKUPAN AGUNG SEMARANG,30004,KEV. KEDU,
30061,,St. Yohanes Rasul - Wonogiri,WONOGIRI,30,KEUSKUPAN AGUNG SEMARANG,30002,KEV. SURAKARTA,
30062,,St. Franciscus Xaverius - Kidulloji,YOGYAKARTA,30,KEUSKUPAN AGUNG SEMARANG,30003,KEV. YOGYAKARTA,
30063,,Hati  Kudus Yesus - Sukoharjo,SUKOHARJO,30,KEUSKUPAN AGUNG SEMARANG,30002,KEV. SURAKARTA,
30064,,Kristus Raja - Solo Baru,SOLO,30,KEUSKUPAN AGUNG SEMARANG,30002,KEV. SURAKARTA,
30065,,St. Paulus - Sendanguwo,SENDANGGUWO,30,KEUSKUPAN AGUNG SEMARANG,30001,KEV. SEMARANG,
30066,,St. Maria - Fatima - Magelang,MAGELANG,30,KEUSKUPAN AGUNG SEMARANG,30004,KEV. KEDU,
30067,,St. Kristoforus - Tumpang,TUMPANG,30,KEUSKUPAN AGUNG SEMARANG,30004,KEV. KEDU,
30068,,St. Maria - Gubug,GUBUG,30,KEUSKUPAN AGUNG SEMARANG,30001,KEV. SEMARANG,
30069,,St. Antonius - Kotabaru,YOGYAKARTA,30,KEUSKUPAN AGUNG SEMARANG,30003,KEV. YOGYAKARTA,
30070,,St. Theresia - Salam,SALAM,30,KEUSKUPAN AGUNG SEMARANG,30004,KEV. KEDU,
30071,,St. Stanislaus - Girisonta,UNGARAN,30,KEUSKUPAN AGUNG SEMARANG,30001,KEV. SEMARANG,
30072,,St. Petrus & Paulus - Minomartani,YOGYAKARTA,30,KEUSKUPAN AGUNG SEMARANG,30003,KEV. YOGYAKARTA,
30073,,St. Maria Assumpta - Babarsari,YOGYAKARTA,30,KEUSKUPAN AGUNG SEMARANG,30003,KEV. YOGYAKARTA,
30074,,St. Alfonsus de Ligouri - Nandan,YOGYAKARTA,30,KEUSKUPAN AGUNG SEMARANG,30003,KEV. YOGYAKARTA,
30075,,St. Maria Fatima - Banyumanik,SEMARANG,30,KEUSKUPAN AGUNG SEMARANG,30001,KEV. SEMARANG,
30076,,St. Maria Diangkat ke Surga - Palur,PALUR,30,KEUSKUPAN AGUNG SEMARANG,30002,KEV. SURAKARTA,
30077,,St. Mikael - Panca Arga,MAGELANG,30,KEUSKUPAN AGUNG SEMARANG,30004,KEV. KEDU,
30078,,Keluarga Kudus - Parakan,PARAKAN,30,KEUSKUPAN AGUNG SEMARANG,30004,KEV. KEDU,
30079,,Keluarga Kudus - Banteng,YOGYAKARTA,30,KEUSKUPAN AGUNG SEMARANG,30003,KEV. YOGYAKARTA,
30080,,St. Paulus - Kleca,SOLO,30,KEUSKUPAN AGUNG SEMARANG,30002,KEV. SURAKARTA,
30081,,St. Martinus - Waleri,WALERI,30,KEUSKUPAN AGUNG SEMARANG,30001,KEV. SEMARANG,
30082,,Hati Kudus - Tanah Mas,SEMARANG,30,KEUSKUPAN AGUNG SEMARANG,30001,KEV. SEMARANG,
30083,,St. Ignatius - Danan,DANAN,30,KEUSKUPAN AGUNG SEMARANG,30002,KEV. SURAKARTA,
30084,,Roh Kudus - Kebunarum,KLATEN,30,KEUSKUPAN AGUNG SEMARANG,30002,KEV. SURAKARTA,
30085,,St. Yohanes Rasul - Pringwulung,YOGYAKARTA,30,KEUSKUPAN AGUNG SEMARANG,30003,KEV. YOGYAKARTA,
30086,,St. Yusuf Pekerrja - Gondangwinangun,GONDANG,30,KEUSKUPAN AGUNG SEMARANG,30002,KEV. SURAKARTA,
30087,,St. Yusuf - Bandung,WONOSARI,30,KEUSKUPAN AGUNG SEMARANG,30003,KEV. YOGYAKARTA,
30088,,St. Petrus & Paulus - Kelor,WONOSARI,30,KEUSKUPAN AGUNG SEMARANG,30003,KEV. YOGYAKARTA,
30089,,St. Mikael - Adiscipto,YOGYAKARTA,30,KEUSKUPAN AGUNG SEMARANG,30003,KEV. YOGYAKARTA,
30090,,Kuasi Paroki Tegalrejo,TEGALREJO,30,KEUSKUPAN AGUNG SEMARANG,30001,KEV. SEMARANG,
30091,,St. Paulus - Pringgolayan,YOGYAKARTA,30,KEUSKUPAN AGUNG SEMARANG,30003,KEV. YOGYAKARTA,
30092,,St. Petrus - Sambiroto,SEMARANG,30,KEUSKUPAN AGUNG SEMARANG,30001,KEV. SEMARANG,
30093,,St. Mikael - Semarang Indah,SEMARANG,30,KEUSKUPAN AGUNG SEMARANG,30001,KEV. SEMARANG,
30094,,St. Ignatius - Krapyak Bongsari,SEMARANG,30,KEUSKUPAN AGUNG SEMARANG,30001,KEV. SEMARANG,
30095,,Kuasi Paroki Dalem,DALEM-KLATEN,30,KEUSKUPAN AGUNG SEMARANG,30002,KEV. SURAKARTA,
30096,,Kuasi Paroki Bayat,BAYAT,30,KEUSKUPAN AGUNG SEMARANG,30002,KEV. SURAKARTA,
30097,,Kuasi Paroki Cawas,CAWAS,30,KEUSKUPAN AGUNG SEMARANG,30002,KEV. SURAKARTA,
30098,,Kuasi Paroki Gemolong,GEMOLONG,30,KEUSKUPAN AGUNG SEMARANG,30002,KEV. SURAKARTA,
30099,,Kuasi Paroki  Pelem Dukuh,NANGGULAN,30,KEUSKUPAN AGUNG SEMARANG,30003,KEV. YOGYAKARTA,
30100,,St. Aloysius Gonzaga,Mojosongo - Solo,30,KEUSKUPAN AGUNG SEMARANG,30002,KEV. SURAKARTA,
30101,,St. Petrus - WARAK,Warak-Sleman,30,KEUSKUPAN AGUNG SEMARANG,30003,KEV. YOGYAKARTA,
